Permit Issued,County,Township,API #,Status,Operator,Well Name & Number,Surface Lat,Surface Long,Endpoint Lat,Endpoint Long,,,
04/21/2006,BELMONT,WASHINGTON,34013205830000,Producing,XTO ENERGY INC.,BOAN/MARCUM 2-1,39.8687727,-80.9201323,39.8731299,-80.9258273,,,
08/20/2009,BELMONT,WHEELING,34013206050000,Permitted,HESS OHIO RESOURCES LLC,CAPSTONE HOLDING CO 2H-9,40.1496148,-81.0174194,40.1551396,-81.0253797,,,
02/19/2010,BELMONT,WHEELING,34013206080000,Permitted,HESS OHIO RESOURCES LLC,CAPSTONE GAS UNIT A 1H-2,40.1454953,-81.0131755,40.1582272,-81.0178684,,,
02/01/2011,BELMONT,WASHINGTON,34013206100000,Permitted,PHILLIPS EXPLORATION INC,BOAN UNIT 4,39.8679298,-80.9332207,39.8745972,-80.9411060,,,
10/27/2010,BELMONT,RICHLAND,34013206190000,Drilled,HESS OHIO RESOURCES LLC,PORTERFIELD GAS UNIT B 1H-17,40.0886261,-80.9332212,40.1024354,-80.9389618,,,
10/27/2010,BELMONT,RICHLAND,34013206200000,Producing,HESS OHIO RESOURCES LLC,PORTERFIELD GAS UNIT A 1H-17,40.0885122,-80.9333238,40.1009074,-80.9431968,,,
04/09/2012,BELMONT,MEAD,34013206530000,Producing,XTO ENERGY INC.,KALDOR 2H,39.9773526,-80.8380489,39.9698310,-80.8196450,,,
06/05/2014,BELMONT,RICHLAND,34013206620000,Permitted,XTO ENERGY INC.,COOK UNIT 1H,40.0003036,-80.8906802,39.9886712,-80.8682598,,,
05/22/2014,BELMONT,KIRKWOOD,34013207830000,Permitted,GULFPORT ENERGY CORPORATION,SWALLIE 210041 1C,40.0389596,-81.1389539,40.0565486,-81.1462399,,,
07/06/2011,CARROLL,EAST,34019220860100,Producing,CHESAPEAKE EXPLORATION LLC,BUCEY 21-14-4 3 H M,40.6815374,-80.9252264,40.6932017,-80.9345868,,,
07/23/2009,JEFFERSON,CROSS CREEK,34081204990100,Producing,HESS OHIO RESOURCES LLC,NORTH AMERICAN COAL 2H-20,40.3093076,-80.7064745,40.3202941,-80.7142710,,,
08/20/2009,JEFFERSON,WAYNE,34081205000000,Permitted,HESS OHIO RESOURCES LLC,NORTH AMERICAN COAL 2H-3,40.3212151,-80.7740269,40.3309964,-80.7823331,,,
11/04/2010,MONROE,OHIO,34111242560100,Producing,TRIAD HUNTER  LLC,ORMET CORP 1-9H,39.7113091,-80.8395617,39.7224653,-80.8445762,,,
09/25/2013,MONROE,OHIO,34111242850000,Drilling,STATOIL USA ONSHORE PROP INC,EISENBARTH 7-H,39.6976945,-80.8989598,39.6908775,-80.8814883,,,
09/25/2013,MONROE,OHIO,34111242880000,Drilling,STATOIL USA ONSHORE PROP INC,EISENBARTH 5-H,39.6976810,-80.8989743,39.6868724,-80.8768155,,,
07/27/2011,MONROE,OHIO,34111243000100,Producing,STATOIL USA ONSHORE PROP INC,EISENBARTH 3-H,39.6976266,-80.8990147,39.6859940,-80.8863494,,,
04/24/2013,MONROE,OHIO,34111243050100,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 1-H,39.6738801,-80.9315840,39.6625667,-80.9195322,,,
06/22/2012,MONROE,OHIO,34111243460000,Permitted,PROTEGE ENERGY II LLC,DANGEL 2-H,39.6738780,-80.9314277,39.6627615,-80.9158686,,,
07/05/2012,MONROE,OHIO,34111243470000,Producing,TRIAD HUNTER  LLC,ORMET 2-9H,39.7115403,-80.8386319,39.7210998,-80.8474353,,,
10/30/2012,MONROE,GREEN,34111243580100,Producing,ECLIPSE RESOURCES I LP,TIPPENS UNIT 6HM,39.6771291,-81.0261239,39.6636376,-81.0112891,,,
12/14/2012,MONROE,SWITZERLAND,34111243660000,Drilled,XTO ENERGY INC.,MONROE NORTH UNIT 1H,39.8226549,-80.8505975,39.8369184,-80.8660156,,,
12/18/2012,MONROE,OHIO,34111243670000,Producing,TRIAD HUNTER  LLC,ORMET CORP 3-9-H,39.7112532,-80.8396839,39.7263819,-80.8427124,,,
04/29/2013,MONROE,OHIO,34111243760000,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 7-H,39.6738849,-80.9315306,39.6655889,-80.9133780,,,
09/27/2013,MONROE,OHIO,34111243770100,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 2-H,39.6738900,-80.9315056,39.6605210,-80.9209533,,,
04/29/2013,MONROE,OHIO,34111243780000,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 3-H,39.6738667,-80.9316128,39.6595005,-80.9234631,,,
06/03/2013,MONROE,OHIO,34111243790000,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 4-H,39.6738924,-80.9314807,39.6625417,-80.9156569,,,
04/29/2013,MONROE,OHIO,34111243800000,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 5-H,39.6738825,-80.9315591,39.6630336,-80.9142709,,,
06/03/2013,MONROE,OHIO,34111243810000,Drilled,STATOIL USA ONSHORE PROP INC,DANGEL 6-H,39.6738948,-80.9314522,39.6640281,-80.9134987,,,
04/21/2014,MONROE,LEE,34111243820000,Permitted,TRIAD HUNTER  LLC,STADLER UNIT C 5MH,39.6415439,-80.9274344,39.6278836,-80.9124594,,,
04/21/2014,MONROE,LEE,34111243900000,Permitted,TRIAD HUNTER  LLC,STADLER UNIT C 8MH,39.6416909,-80.9273387,39.6322495,-80.9068098,,,
09/26/2013,MONROE,LEE,34111243910000,Permitted,TRIAD HUNTER  LLC,STALDER UNIT A 1 MH,39.6415922,-80.9275611,39.6515138,-80.9446323,,,
04/21/2014,MONROE,LEE,34111243920000,Permitted,TRIAD HUNTER  LLC,STADLER UNIT C 7MH,39.6416419,-80.9273718,39.6307952,-80.9086931,,,
04/21/2014,MONROE,LEE,34111243930000,Permitted,TRIAD HUNTER  LLC,STADLER UNIT C 6MH,39.6415928,-80.9274013,39.6293380,-80.9105763,,,
09/26/2013,MONROE,LEE,34111243940000,Permitted,TRIAD HUNTER  LLC,STALDER UNIT A 4 MH,39.6417392,-80.9274655,39.6558812,-80.9389828,,,
07/02/2013,MONROE,LEE,34111243950000,Producing,TRIAD HUNTER  LLC,STALDER UNIT A 2 MH,39.6416412,-80.9275280,39.6529715,-80.9427491,,,
09/26/2013,MONROE,LEE,34111243960000,Drilled,TRIAD HUNTER  LLC,STALDER UNIT A 3 MH,39.6416903,-80.9274985,39.6544264,-80.9408660,,,
09/24/2013,MONROE,OHIO,34111244180000,Drilled,STATOIL USA ONSHORE PROP INC,EISENBARTH 4-H,39.6976075,-80.8990222,39.6838558,-80.8810506,,,
09/24/2013,MONROE,OHIO,34111244190000,Drilling,STATOIL USA ONSHORE PROP INC,EISENBARTH 6-H,39.6976619,-80.8989854,39.6860823,-80.8784473,,,
01/07/2014,MONROE,OHIO,34111244200000,Drilling,STATOIL USA ONSHORE PROP INC,MICHAEL 1H,39.6975857,-80.8990334,39.7113367,-80.9206133,,,
09/24/2013,MONROE,OHIO,34111244210000,Drilling,STATOIL USA ONSHORE PROP INC,EISENBARTH 1-H,39.6975694,-80.8990444,39.6820086,-80.8886555,,,
10/01/2013,MONROE,LEE,34111244220000,Permitted,TRIAD HUNTER  LLC,STALDER UNIT A 9 MH,39.6415432,-80.9275906,39.6500588,-80.9465152,,,
12/06/2013,MONROE,PERRY,34111244380100,Permitted,EM ENERGY OHIO LLC,JAWS 8MH,39.6365655,-81.0580458,39.6463315,-81.0664461,,,
04/11/2014,MONROE,SWITZERLAND,34111244500100,Permitted,CNX GAS COMPANY LLC,BREWSTER SWITZ6AHSM,39.8313803,-80.9139547,39.8453803,-80.9273525,,,
05/02/2014,MONROE,LEE,34111244700000,Permitted,TRIAD HUNTER  LLC,STALDER UNIT C 10MH,39.6414948,-80.9274639,39.6264292,-80.9143459,,,